Model,alpha,N_L,N_T,lambda_max,Tput_L,Tput_T,TTFT_short_s,bottleneck
Llama2-70B,0.37,16,16,291.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.38,16,16,284.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.39,16,16,276.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.4,16,16,269.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.41,16,16,263.3,108.0,715.1,3.087,PoolL
Llama2-70B,0.42,16,16,257.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.43,16,16,251.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.44,16,16,245.4,108.0,715.1,3.087,PoolL
Llama2-70B,0.45,16,16,239.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.46,16,16,234.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.47,16,16,229.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.48,16,16,224.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.49,16,16,220.3,108.0,715.1,3.087,PoolL
Llama2-70B,0.5,16,16,215.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.51,16,16,211.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.52,16,16,207.6,108.0,715.1,3.087,PoolL
Llama2-70B,0.53,16,16,203.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.54,16,16,199.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.55,16,16,196.3,108.0,715.1,3.087,PoolL
Llama2-70B,0.56,16,16,192.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.57,16,16,189.4,108.0,715.1,3.087,PoolL
Llama2-70B,0.58,16,16,186.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.59,16,16,183.0,108.0,715.1,3.087,PoolL
Llama2-70B,0.6,16,16,179.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.61,16,16,177.0,108.0,715.1,3.087,PoolL
Llama2-70B,0.62,16,16,174.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.63,16,16,171.4,108.0,715.1,3.087,PoolL
Llama2-70B,0.64,16,16,168.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.65,16,16,166.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.66,16,16,163.6,108.0,715.1,3.087,PoolL
Llama2-70B,0.67,16,16,161.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.68,16,16,158.8,108.0,715.1,3.087,PoolL
Llama2-70B,0.69,16,16,156.5,108.0,715.1,3.087,PoolL
Llama2-70B,0.7,16,16,154.2,108.0,715.1,3.087,PoolL
Llama2-70B,0.71,16,16,152.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.72,16,16,149.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.73,16,16,147.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.74,16,16,145.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.75,16,16,143.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.76,16,16,142.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.77,16,16,140.2,108.0,715.1,3.087,PoolL
Llama2-70B,0.78,16,16,138.4,108.0,715.1,3.087,PoolL
Llama2-70B,0.79,16,16,136.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.8,16,16,135.0,108.0,715.1,3.087,PoolL
Llama2-70B,0.81,16,16,133.3,108.0,715.1,3.087,PoolL
Llama2-70B,0.82,16,16,131.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.83,16,16,130.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.84,16,16,128.5,108.0,715.1,3.087,PoolL
Llama2-70B,0.85,16,16,127.0,108.0,715.1,3.087,PoolL
Llama2-70B,0.86,16,16,125.5,108.0,715.1,3.087,PoolL
Llama2-70B,0.87,16,16,124.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.88,16,16,122.7,108.0,715.1,3.087,PoolL
Llama2-70B,0.89,16,16,121.3,108.0,715.1,3.087,PoolL
Llama2-70B,0.9,16,16,120.0,108.0,715.1,3.087,PoolL
Llama2-70B,0.91,16,16,118.6,108.0,715.1,3.087,PoolL
Llama2-70B,0.92,16,16,117.4,108.0,715.1,3.087,PoolL
Llama2-70B,0.93,16,16,116.1,108.0,715.1,3.087,PoolL
Llama2-70B,0.94,16,16,114.9,108.0,715.1,3.087,PoolL
Llama2-70B,0.95,16,16,113.6,108.0,715.1,3.087,PoolL
Llama2-70B,0.96,16,16,112.5,108.0,715.1,3.087,PoolL
Llama2-70B,0.97,16,16,111.3,108.0,715.1,3.087,PoolL
Llama2-70B,0.98,16,16,110.2,108.0,715.1,3.087,PoolL
