Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,3072,40,1,prefill,28.52181132407143,4392.205546729312,132.33879772880482,649.2699355097826
Llama2-13B,20,3200,1,20,prefill,7.823209192299106,429.8166270927066,331.53168170736853,230.24513850797555
Llama2-13B,20,3200,2,10,prefill,7.946067960156251,844.976120318124,191.48743585972173,256.3230033226443
Llama2-13B,20,3200,4,5,prefill,8.906617528348214,1497.05772343628,163.0724622943456,358.2057903940424
Llama2-13B,20,3200,5,4,prefill,9.601253485267856,1728.5231791956835,166.50472635913303,407.3834489916867
Llama2-13B,20,3200,10,2,prefill,11.80393388627232,2787.2497162000554,143.6000878494564,519.0626858674738
Llama2-13B,20,3200,20,1,prefill,16.638686590848213,3916.245576693738,138.72679214025052,640.9142903676881
Llama2-13B,20,3200,40,1,prefill,30.01393724924108,4353.771156152372,132.84370043006405,646.3930982473141
Llama2-13B,20,3328,1,20,prefill,8.26079317599107,424.535805917679,331.8672345515757,227.294979112381
Llama2-13B,20,3328,2,10,prefill,8.388566294562501,834.7283176549861,191.8179208602498,253.26361198293355
Llama2-13B,20,3328,4,5,prefill,9.396794805482145,1479.652428773271,163.45614738901318,354.465519822051
Llama2-13B,20,3328,5,4,prefill,10.117364808678571,1709.735462571449,166.8767578662369,403.5782855070751
Llama2-13B,20,3328,10,2,prefill,12.422963561723211,2759.5767364679823,144.06028021339088,515.3524177464647
Llama2-13B,20,3328,20,1,prefill,17.467768902482142,3884.380412875644,139.2909185251713,638.2924472539403
Llama2-13B,20,3328,40,1,prefill,31.52281325441072,4316.828200332368,133.32490447558868,643.6069365949995
Llama2-13B,20,3456,1,20,prefill,8.706735559683034,419.44309443446815,332.1959664993104,224.4623482581021
Llama2-13B,20,3456,2,10,prefill,8.839423028968751,824.8423749817977,192.1415849643056,250.3232607238849
Llama2-13B,20,3456,4,5,prefill,9.895330482616073,1462.887810738706,163.8288831415803,350.87298908833105
Llama2-13B,20,3456,5,4,prefill,10.641834532089284,1691.6074885434582,167.23866572036593,399.9144314996553
Llama2-13B,20,3456,10,2,prefill,13.050351637174106,2732.9333217912576,144.5037434113456,511.7816293682842
Llama2-13B,20,3456,20,1,prefill,18.30520961411607,3853.7342059002544,139.81405059916202,635.6976476368628
Llama2-13B,20,3456,40,1,prefill,33.05981085958037,4280.322333532582,133.81857833864458,640.8514928210269
Llama2-13B,20,3584,1,20,prefill,9.161202743374998,414.52185887289545,332.51862086015365,221.735335647364
Llama2-13B,20,3584,2,10,prefill,9.298804563375,815.2862538978507,192.45917148146987,247.48965068248285
Llama2-13B,20,3584,4,5,prefill,10.40239095975,1446.704013449635,164.1918551950881,347.4120248816138
Llama2-13B,20,3584,5,4,prefill,11.174829055499998,1674.0773213423763,167.59154709786927,396.3760099690383
Llama2-13B,20,3584,10,2,prefill,13.686264512625,2707.2162157921985,144.93228235320586,508.33329292520114
Llama2-13B,20,3584,20,1,prefill,19.15117512575,3824.176844705634,140.33247005927768,633.2418979087882
Llama2-13B,20,3584,40,1,prefill,34.613558544750006,4245.141476211304,134.29104836696152,638.1770705772761
Llama2-13B,20,3712,1,20,prefill,9.624437927066964,409.7561922285137,332.8358447949841,219.1025139274268
Llama2-13B,20,3712,2,10,prefill,9.76695409778125,806.0292735489447,192.7713275726213,244.75087199639023
Llama2-13B,20,3712,4,5,prefill,10.91821943688393,1431.0444958663657,164.54609203236345,344.06701939116925
