Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-7B,8,2048,1,8,decoding,2.414006301541667,755.6975139757194,97.31428286396392,116.0999544031098
Llama2-7B,8,2048,1,8,end2end,2.670348614333333,786.1219586579241,97.03112884052686,120.72824853513792
Llama2-7B,8,2048,1,8,prefill,0.2563423127916666,999.0930714333572,95.0490506764676,153.12630745933473
Llama2-7B,8,2048,2,4,decoding,2.7579202749166667,1317.3139771913295,82.57181468269725,159.87060489088176
Llama2-7B,8,2048,2,4,end2end,3.0633931553333333,1362.224251864523,82.29125539522384,164.61672488935756
Llama2-7B,8,2048,2,4,prefill,0.3054728804166666,1676.5961745768805,80.3273403829102,197.83956487868835
Llama2-7B,8,2048,4,2,decoding,3.4580324740833333,2096.469840982337,73.42627729409386,207.05716873749552
Llama2-7B,8,2048,4,2,end2end,3.8550578766666654,2156.8662629689507,73.0642105508621,211.4724040844123
Llama2-7B,8,2048,4,2,prefill,0.3970254025833333,2579.641216875246,70.52974334823975,242.3790515128296
Llama2-7B,8,2048,8,1,decoding,4.920704488416666,2935.2916206017007,71.03421177078278,255.19125357318163
Llama2-7B,8,2048,8,1,end2end,5.509756023333333,3003.012414839387,70.51739949487623,258.4490347570646
Llama2-7B,8,2048,8,1,prefill,0.5890515349166666,3477.057974503188,66.89971356353044,281.2535030442456
Llama2-7B,8,2048,32,1,decoding,16.921674523569443,3422.4437856972977,66.20594933821995,257.36289264248023
Llama2-7B,8,2048,32,1,end2end,18.871567245222224,3519.9071722707395,65.65200746530755,261.04715581452456
Llama2-7B,8,2048,32,1,prefill,1.9498927216527773,4202.150878284836,61.774414354920765,286.83699801883495
Llama2-7B,8,4096,1,8,decoding,6.262046779083334,598.4995371934425,100.11482173914276,92.85903549554972
Llama2-7B,8,4096,1,8,end2end,6.795989644666666,643.7881061593116,99.51154821861248,99.65899767544816
Llama2-7B,8,4096,1,8,prefill,0.5339428655833333,960.8080889203944,95.28863357490064,147.2587329347371
Llama2-7B,8,4096,2,4,decoding,7.068363813833333,1055.4839349060908,86.01143952412488,131.8009303924417
Llama2-7B,8,4096,2,4,end2end,7.700567814666667,1126.3012238395554,85.33055065178172,139.3411196392686
Llama2-7B,8,4096,2,4,prefill,0.6322040008333333,1622.0222463738078,80.56432854537957,192.1224443670569
Llama2-7B,8,4096,4,2,decoding,8.587077300166667,1723.206069633077,77.51666441360676,179.16514071242412
Llama2-7B,8,4096,4,2,end2end,9.402386345333332,1822.063566614493,76.67276062974682,186.48136905403857
Llama2-7B,8,4096,4,2,prefill,0.8153090451666666,2514.066045484409,70.76543414272729,237.6949674453392
Llama2-7B,8,4096,8,1,decoding,11.749399504833336,2493.220509006737,76.45395699226674,234.0113610423189
Llama2-7B,8,4096,8,1,end2end,12.948760814666668,2608.6293736474013,75.28007945781219,239.5069620527109
Llama2-7B,8,4096,8,1,prefill,1.1993613098333331,3416.4914261320523,67.06293671663036,277.9761691254555
Llama2-7B,8,4096,32,1,decoding,41.35549496713889,2850.5482024687904,71.41997750473598,234.6160948759941
Llama2-7B,8,4096,32,1,end2end,45.36905090644445,3005.0137438295624,70.27906009431382,240.6071684584195
Llama2-7B,8,4096,32,1,prefill,4.013555939305555,4086.272533354968,62.29263822135864,282.54468353539767
